location,population,date,HighestInfectionCount,PercentPopulationInfected
Slovenia,2078932,3/24/2021,208588,10.0334210065553
Luxembourg,625976,4/7/2021,62793,10.0312152542589
Czechia,10708982,2/12/2021,1073966,10.0286469806374
Serbia,6804596,4/26/2021,681654,10.017552842226
Bahrain,1701583,4/24/2021,170335,10.0103844478935
Luxembourg,625976,4/6/2021,62625,10.0043771646197
San Marino,33938,2/17/2021,3394,10.0005893099181
Serbia,6804596,4/25/2021,679667,9.98835199033124
Slovenia,2078932,3/23/2021,207298,9.97136991493709
Andorra,77265,12/24/2020,7699,9.96440820552644
Serbia,6804596,4/24/2021,677972,9.96344235572545
Montenegro,628062,2/2/2021,62476,9.94742557263455
Bahrain,1701583,4/23/2021,169254,9.94685536938251
Czechia,10708982,2/11/2021,1064952,9.94447464754353
Serbia,6804596,4/23/2021,675904,9.93305113191143
Andorra,77265,12/23/2020,7669,9.92558079337345
Slovenia,2078932,3/22/2021,206317,9.92418222433442
Luxembourg,625976,4/2/2021,62105,9.921306887165
Luxembourg,625976,4/3/2021,62105,9.921306887165
Luxembourg,625976,4/4/2021,62105,9.921306887165
Luxembourg,625976,4/5/2021,62105,9.921306887165
Slovenia,2078932,3/21/2021,206026,9.91018465250427
Serbia,6804596,4/22/2021,673520,9.89801598801751
Luxembourg,625976,4/1/2021,61881,9.88552276764604
Slovenia,2078932,3/20/2021,205509,9.88531611423558
Bahrain,1701583,4/22/2021,168201,9.88497181741943
Andorra,77265,12/22/2020,7633,9.87898789878988
San Marino,33938,2/16/2021,3352,9.87683422712004
Montenegro,628062,2/1/2021,61972,9.86717871802465
Serbia,6804596,4/21/2021,670801,9.85805770100091
Czechia,10708982,2/10/2021,1055415,9.85541856359456
Luxembourg,625976,3/31/2021,61642,9.84734239012358
Andorra,77265,12/21/2020,7602,9.83886623956513
Slovenia,2078932,3/19/2021,204482,9.83591574904807
Bahrain,1701583,4/21/2021,167165,9.82408733514615
Montenegro,628062,1/31/2021,61659,9.81734287379271
Serbia,6804596,4/20/2021,667937,9.81596850128942
Andorra,77265,12/20/2020,7577,9.80651006277098
Slovenia,2078932,3/18/2021,203544,9.790796428166
